No,Incident,Monk_Status,Age,Gender,Current_Status,Month,Year,age_groups,Date,Day
1,Sichuan,Monk,27,M,Unknown/Custody,Feb,2009,18-30,2009-02-27,27
2,Sichuan,Monk,21,M,Died,Mar,2011,18-30,2011-03-16,16
3,Sichuan,Monk,29,M,Died,Aug,2011,18-30,2011-08-15,15
4,Sichuan,Monk,18,M,Unknown/Custody,Sep,2011,Under 18,2011-09-26,26
5,Sichuan,Monk,19,M,Unknown/Custody,Sep,2011,18-30,2011-09-26,26
6,Sichuan,Monk,17,M,Unknown/Custody,Oct,2011,Under 18,2011-10-03,3
7,Sichuan,Monk,19,M,Died,Nov,2011,18-30,2011-11-07,7
8,Sichuan,Monk,18,M,Died,Oct,2011,Under 18,2011-10-07,7
9,Sichuan,Monk,19,M,Died,Oct,2011,18-30,2011-10-15,15
10,Sichuan,Monk,20,F,Died,Oct,2011,18-30,2011-10-17,17
11,Sichuan,Monk,38,M,Unknown/Custody,Oct,2011,30-50,2011-10-25,25
12,Sichuan,Monk,35,F,Died,Nov,2011,30-50,2011-11-03,3
13,TAR,Monk,40,M,Died,Dec,2011,30-50,2011-12-01,1
14,Sichuan,Monk,20,M,Died,Dec,2012,18-30,2012-12-06,6
15,Sichuan,Monk,20,M,Died,Dec,2012,18-30,2012-12-06,6
16,Qinghai,Monk,40,M,Died,Jan,2012,30-50,2012-01-08,8
17,Sichuan,Non-Monk,21,M,Died,Jan,2012,18-30,2012-01-14,14
18,Sichuan,Non-Monk,19,M,Died,Feb,2012,18-30,2012-02-08,8
19,Qinghai,Monk,42,M,Unknown/Custody,Feb,2012,30-50,2012-02-08,8
20,Sichuan,Monk,18,F,Died,Feb,2012,Under 18,2012-02-11,11
21,Sichuan,Monk,19,M,Unknown/Custody,Feb,2012,18-30,2012-02-13,13
22,Qinghai,Monk,30,M,Died,Feb,2012,18-30,2012-02-17,17
23,Sichuan,Non-Monk,18,M,Died,Feb,2012,Under 18,2012-02-19,19
24,Gansu,Non-Monk,20,F,Died,Mar,2012,18-30,2012-03-03,3
25,Sichuan,Non-Monk,32,F,Died,Mar,2012,30-50,2012-03-04,4
26,Sichuan,Non-Monk,18,M,Died,Mar,2012,Under 18,2012-03-05,5
27,Sichuan,Monk,18,M,Died,Mar,2012,Under 18,2012-03-10,10
28,Qinghai,Monk,34,M,Died,Mar,2012,30-50,2012-03-14,14
29,Sichuan,Monk,20,M,Died,Mar,2012,18-30,2012-03-16,16
30,Qinghai,Non-Monk,44,M,Died,Mar,2012,30-50,2012-03-17,17
31,Sichuan,Monk,20,M,Died,Mar,2012,18-30,2012-03-28,28
32,Sichuan,Non-Monk,22,M,Died,Mar,2012,18-30,2012-03-30,30
33,Sichuan,Non-Monk,21,M,Died,Mar,2012,18-30,2012-03-30,30
34,Sichuan,Monk,47,M,Died,Apr,2012,30-50,2012-04-06,6
35,Sichuan,Monk,25,F,Died,Apr,2012,18-30,2012-04-06,6
36,Sichuan,Non-Monk,20,M,Died,Apr,2012,18-30,2012-04-19,19
37,Sichuan,Non-Monk,20,M,Died,Apr,2012,18-30,2012-04-19,19
38,TAR,Non-Monk,19,M,Died,May,2012,18-30,2012-05-27,27
39,TAR,Non-Monk,25,M,Unknown/Custody,May,2012,18-30,2012-05-27,27
40,Sichuan,Non-Monk,36,F,Died,May,2012,30-50,2012-05-30,30
41,Qinghai,Non-Monk,64,M,Died,Jun,2012,50+,2012-06-15,15
42,Qinghai,Non-Monk,22,M,Died,Jun,2012,18-30,2012-06-20,20
43,Qinghai,Non-Monk,24,M,Died,Jun,2012,18-30,2012-06-20,20
44,Qinghai,Non-Monk,40,F,Unknown/Custody,Jun,2012,30-50,2012-06-27,27
